month(days),mean_like,sd_like,mean_retweet,sd_retweet,mean_tweet,sd_tweet
01-2016 (<=15),6442.857142857143,5324.740163568905,0.0,0.0,1.5714285714285714,0.9759000729485332
12-2015 (>15),2932.8333333333335,1158.5800648494978,0.0,0.0,1.0,0.0
12-2015 (<=15),5675.666666666667,3404.4326007916993,0.0,0.0,1.3333333333333333,0.5773502691896257
11-2015 (>15),3489.5,1504.0161235837866,0.0,0.0,1.0,0.0
11-2015 (<=15),8439.4,6508.5360736668135,0.1,0.31622776601683794,2.3,1.888562063228706
10-2015 (>15),6210.4,3783.0862136620676,0.0,0.0,2.4,1.5165750888103102
10-2015 (<=15),5649.272727272727,2992.5517569762796,0.09090909090909091,0.3015113445777636,2.3636363636363638,1.12006493318265
09-2015 (>15),3454.3333333333335,2389.074520952971,0.0,0.0,1.5,0.8366600265340756
09-2015 (<=15),4468.833333333333,1637.06327509558,0.16666666666666666,0.408248290463863,1.5,0.5477225575051661
08-2015 (>15),6924.25,2672.5870581392355,0.0,0.0,1.75,0.9574271077563381
08-2015 (<=15),6295.0,2787.5184304323443,0.0,0.0,1.6666666666666667,1.1547005383792517
07-2015 (>15),4553.714285714285,3180.4268431708824,0.0,0.0,1.1428571428571428,0.37796447300922725
07-2015 (<=15),4855.0,3973.060784835792,0.0,0.0,1.4,0.6992058987801011
06-2015 (>15),2635.0,1974.2421330728407,0.0,0.0,1.0,0.0
06-2015 (<=15),2677.2,1242.5577250172323,0.0,0.0,1.2,0.44721359549995804
05-2015 (>15),4177.25,1750.61348770462,0.0,0.0,1.25,0.5
05-2015 (<=15),2558.5,1155.642534119728,0.0,0.0,1.0,0.0
04-2015 (>15),3617.8571428571427,2595.551285602054,0.0,0.0,1.8571428571428572,1.4638501094227998
04-2015 (<=15),4710.0,2372.048692586221,0.0,0.0,2.0,0.7071067811865476
03-2015 (>15),6384.0,3239.702108219211,0.0,0.0,2.2222222222222223,1.0929064207170003
03-2015 (<=15),2768.6,1149.8757758992926,0.0,0.0,1.4,0.8944271909999159
02-2015 (>15),5029.0,7498.756110182541,0.16666666666666666,0.408248290463863,1.6666666666666667,0.816496580927726
02-2015 (<=15),3126.0,5327.012264550051,0.2857142857142857,0.7559289460184545,1.2857142857142858,0.7559289460184545
01-2015 (>15),2105.5,1608.6679271993955,0.0,0.0,1.5,0.7071067811865476
01-2015 (<=15),2546.5,498.510280736516,0.0,0.0,1.5,0.7071067811865476
12-2014 (>15),3537.5,2551.1835488651145,0.0,0.0,1.6666666666666667,0.816496580927726
12-2014 (<=15),2233.0,763.687108703558,0.0,0.0,1.25,0.5
11-2014 (>15),3511.1428571428573,2463.8683290421877,0.0,0.0,1.4285714285714286,0.5345224838248488
11-2014 (<=15),1801.1,2569.5652658680524,0.0,0.0,2.0,2.160246899469287
10-2014 (>15),1404.7777777777778,1004.4121138479187,0.1111111111111111,0.3333333333333333,1.3333333333333333,0.5
10-2014 (<=15),1961.7777777777778,1355.5147341303393,0.0,0.0,1.8888888888888888,1.0540925533894598
09-2014 (>15),1719.0,1002.7696644793359,0.3333333333333333,0.5773502691896258,1.6666666666666667,0.5773502691896257
09-2014 (<=15),986.6666666666666,324.25031482893996,0.0,0.0,1.0,0.0
08-2014 (>15),1522.2,922.1101886434182,0.0,0.0,1.8,0.8366600265340756
08-2014 (<=15),1332.0,,0.0,,1.0,
07-2014 (>15),,,,,,
07-2014 (<=15),1426.0,,0.0,,1.0,
04-2014 (>15),5275.0,,0.0,,1.0,
04-2014 (<=15),,,,,,
01-2014 (>15),1212.0,,0.0,,1.0,
01-2014 (<=15),2608.5,294.8635277547903,0.0,0.0,2.0,0.0
12-2013 (>15),1965.0,849.9423509862302,0.0,0.0,1.5,0.7071067811865476
12-2013 (<=15),2768.0,,0.0,,2.0,
11-2013 (>15),1384.0,,0.0,,1.0,
11-2013 (<=15),18326.0,,0.0,,2.0,
08-2013 (>15),,,,,,
08-2013 (<=15),2383.0,,0.0,,2.0,
02-2013 (>15),,,,,,
02-2013 (<=15),1163.5,883.1763697019978,0.0,0.0,1.5,0.7071067811865476
12-2012 (>15),9800.0,,0.0,,3.0,
12-2012 (<=15),,,,,,
10-2012 (>15),,,,,,
10-2012 (<=15),537.5,562.1498910433053,0.0,0.0,1.0,0.0
09-2012 (>15),1874.5,1489.5884219027303,0.0,0.0,1.75,0.9574271077563381
09-2012 (<=15),1074.0,,0.0,,2.0,
08-2012 (>15),1080.0,902.7760888873091,0.0,0.0,2.25,1.8929694486000912
08-2012 (<=15),458.0,354.1641176378858,0.0,0.0,2.1,1.3703203194062976
07-2012 (>15),435.0,329.3311403435758,0.0,0.0,1.3333333333333333,0.5773502691896257
07-2012 (<=15),427.3333333333333,355.3238898057189,0.0,0.0,2.8333333333333335,2.6394443859772205
