day,month,fav_count,retweet_count,tweet_count
8,07-2020,126930,0,3
7,07-2020,154235,0,1
5,07-2020,36272,0,1
3,07-2020,108699,0,3
2,07-2020,53037,0,4
1,07-2020,24006,0,2
29,06-2020,34914,0,1
25,06-2020,29596,0,1
24,06-2020,11331,0,1
23,06-2020,46865,0,2
22,06-2020,32323,0,2
21,06-2020,178507,0,2
20,06-2020,352,0,1
19,06-2020,2608,0,1
17,06-2020,61683,0,1
14,06-2020,226310,0,1
13,06-2020,33140,0,1
11,06-2020,51242,0,1
10,06-2020,64722,0,2
9,06-2020,6705,0,1
6,06-2020,119726,1,4
5,06-2020,36260,0,2
31,05-2020,3402,0,1
27,05-2020,51506,0,2
26,05-2020,355,0,1
25,05-2020,68732,0,2
16,05-2020,147778,0,1
15,05-2020,36721,0,1
13,05-2020,13476,0,1
12,05-2020,87824,0,3
10,05-2020,126163,0,2
8,05-2020,6272,0,1
7,05-2020,60914,0,2
4,05-2020,20388,0,2
3,05-2020,29815,0,1
2,05-2020,71357,0,1
1,05-2020,60898,0,1
30,04-2020,211103,0,2
29,04-2020,181892,0,33
28,04-2020,9925,0,12
27,04-2020,97079,0,102
26,04-2020,25602,0,48
25,04-2020,176234,0,45
24,04-2020,241563,0,1
22,04-2020,2744,0,5
21,04-2020,21479,0,1
19,04-2020,15183,0,1
18,04-2020,14977,0,1
16,04-2020,1085,0,1
14,04-2020,20222,0,1
12,04-2020,22411,0,1
9,04-2020,22693,0,2
7,04-2020,6162,0,2
5,04-2020,161776,0,2
4,04-2020,1405,0,1
3,04-2020,20312,0,8
27,03-2020,34735,0,2
26,03-2020,27148,1,2
25,03-2020,53535,0,4
24,03-2020,198357,0,3
22,03-2020,61689,0,1
20,03-2020,59243,0,3
18,03-2020,25445,0,2
17,03-2020,76673,0,3
14,03-2020,75483,0,1
12,03-2020,60594,0,2
11,03-2020,5543,0,1
10,03-2020,20765,0,1
9,03-2020,34053,0,1
8,03-2020,128232,0,5
7,03-2020,84981,0,2
6,03-2020,31469,0,4
5,03-2020,12549,0,1
3,03-2020,52714,0,1
1,03-2020,8028,0,1
28,02-2020,39388,0,1
27,02-2020,35655,0,1
26,02-2020,34429,0,1
25,02-2020,21122,0,1
23,02-2020,34552,0,2
22,02-2020,17113,0,3
21,02-2020,94281,0,28
20,02-2020,15014,0,20
19,02-2020,68885,0,13
18,02-2020,80947,0,1
17,02-2020,38453,0,2
15,02-2020,3541,0,1
14,02-2020,105506,0,1
12,02-2020,35464,0,5
10,02-2020,72948,0,7
9,02-2020,134491,0,2
8,02-2020,8568,0,1
7,02-2020,86341,0,3
6,02-2020,7873,0,1
5,02-2020,95367,0,2
4,02-2020,80513,0,2
3,02-2020,32259,0,2
2,02-2020,25755,0,1
1,02-2020,11058,0,2
31,01-2020,13919,0,1
30,01-2020,48505,0,1
28,01-2020,33468,0,1
27,01-2020,53187,0,1
26,01-2020,67301,0,2
25,01-2020,26561,0,1
24,01-2020,21175,0,1
23,01-2020,10526,0,1
22,01-2020,24502,0,1
21,01-2020,29623,0,1
20,01-2020,21551,0,1
19,01-2020,94455,0,2
18,01-2020,28053,0,2
17,01-2020,39675,0,2
16,01-2020,4359,0,1
15,01-2020,100930,0,2
14,01-2020,1875,0,1
13,01-2020,42871,0,1
11,01-2020,91898,0,1
10,01-2020,27980,0,2
9,01-2020,15365,0,1
6,01-2020,59175,0,1
4,01-2020,80348,0,1
3,01-2020,54967,0,1
2,01-2020,48748,0,1
1,01-2020,168220,0,2
25,12-2019,63851,0,1
24,12-2019,55663,0,1
22,12-2019,72830,0,1
17,12-2019,15153,0,1
14,12-2019,57090,0,2
12,12-2019,188441,0,2
11,12-2019,8199,0,1
6,12-2019,74016,0,2
5,12-2019,81020,0,2
4,12-2019,76454,0,2
3,12-2019,77079,0,2
1,12-2019,24674,0,1
30,11-2019,13334,0,1
29,11-2019,13878,0,1
27,11-2019,127294,0,3
26,11-2019,36294,0,1
25,11-2019,1854,0,2
23,11-2019,49542,0,3
22,11-2019,88019,0,1
21,11-2019,32490,0,1
20,11-2019,62215,0,2
19,11-2019,25280,0,2
17,11-2019,18731,0,1
16,11-2019,64787,0,2
15,11-2019,72245,0,1
14,11-2019,41254,0,2
12,11-2019,46613,0,2
11,11-2019,5119,0,1
10,11-2019,48525,0,1
8,11-2019,89506,0,2
6,11-2019,5655,0,1
5,11-2019,110041,0,1
2,11-2019,84540,0,1
1,11-2019,70306,0,1
27,10-2019,50910,0,1
25,10-2019,93833,0,2
24,10-2019,29538,0,1
22,10-2019,76485,0,2
21,10-2019,79415,0,2
20,10-2019,121424,0,2
19,10-2019,31554,0,2
17,10-2019,59041,0,1
16,10-2019,13450,0,1
15,10-2019,189898,0,2
14,10-2019,30124,0,1
13,10-2019,66360,0,1
11,10-2019,141988,0,4
8,10-2019,152945,0,5
7,10-2019,83010,0,1
6,10-2019,53150,0,1
4,10-2019,26226,0,2
3,10-2019,42932,0,1
2,10-2019,51529,0,2
1,10-2019,5272,0,1
30,09-2019,24926,0,2
28,09-2019,55492,0,1
27,09-2019,66770,0,2
25,09-2019,97176,0,3
23,09-2019,31443,0,1
21,09-2019,65624,0,1
20,09-2019,76686,0,2
19,09-2019,28501,0,1
17,09-2019,86298,0,1
14,09-2019,91762,0,3
13,09-2019,6627,0,1
11,09-2019,106481,0,2
9,09-2019,24378,0,1
8,09-2019,144843,0,2
7,09-2019,58668,0,1
6,09-2019,33490,0,2
5,09-2019,123802,0,2
