day,month,fav_count,retweet_count,tweet_count
4,09-2019,62924,0,2
2,09-2019,160180,0,4
31,08-2019,82882,0,1
30,08-2019,59829,0,3
29,08-2019,96416,0,6
27,08-2019,29910,0,1
26,08-2019,65147,0,2
25,08-2019,205056,0,4
24,08-2019,42930,0,2
21,08-2019,28486,0,1
19,08-2019,50752,0,1
17,08-2019,31021,0,1
16,08-2019,81404,0,2
15,08-2019,121329,0,2
13,08-2019,66067,0,2
12,08-2019,59936,0,1
9,08-2019,97041,0,2
8,08-2019,18296,0,1
7,08-2019,55828,0,1
6,08-2019,89120,0,2
5,08-2019,58230,0,1
4,08-2019,60525,0,2
3,08-2019,120456,0,4
2,08-2019,78999,0,1
27,07-2019,8119,0,1
26,07-2019,180758,0,2
25,07-2019,33532,0,1
24,07-2019,75981,0,1
22,07-2019,134755,0,2
21,07-2019,99938,0,5
20,07-2019,86400,0,51
19,07-2019,139717,0,2
16,07-2019,71659,0,1
14,07-2019,211844,0,3
13,07-2019,453,0,1
10,07-2019,258355,0,2
9,07-2019,58704,0,1
8,07-2019,153129,0,1
7,07-2019,196764,0,1
6,07-2019,169046,0,1
5,07-2019,34549,0,1
4,07-2019,98147,0,1
3,07-2019,294646,0,2
2,07-2019,95976,0,1
1,07-2019,183302,0,2
30,06-2019,111746,0,3
29,06-2019,107832,0,3
27,06-2019,151841,0,3
26,06-2019,37186,0,2
25,06-2019,102678,0,2
22,06-2019,97986,0,1
21,06-2019,72575,0,1
20,06-2019,96291,0,1
17,06-2019,205719,0,2
16,06-2019,314100,0,3
15,06-2019,94304,0,1
11,06-2019,134808,0,2
10,06-2019,212429,0,1
9,06-2019,168214,0,1
6,06-2019,86586,0,2
5,06-2019,124110,0,4
4,06-2019,15199,0,1
1,06-2019,86174,0,2
30,05-2019,93780,0,1
27,05-2019,101025,0,2
24,05-2019,56712,0,1
23,05-2019,124559,0,1
20,05-2019,63740,0,1
19,05-2019,20388,0,2
18,05-2019,165,0,1
15,05-2019,18148,0,1
14,05-2019,33646,0,1
13,05-2019,0,1,0
12,05-2019,230709,0,3
11,05-2019,36247,0,1
7,05-2019,43154,0,1
6,05-2019,37761,0,1
5,05-2019,31462,0,1
3,05-2019,38123,0,1
2,05-2019,67447,0,1
1,05-2019,43520,0,2
30,04-2019,118747,0,17
29,04-2019,86900,0,2
28,04-2019,75041,1,2
27,04-2019,46870,0,35
26,04-2019,38154,0,11
25,04-2019,159136,0,28
23,04-2019,34372,0,2
22,04-2019,72185,0,4
21,04-2019,73758,0,2
19,04-2019,31296,0,1
17,04-2019,15720,0,1
16,04-2019,6424,0,1
15,04-2019,35063,0,1
14,04-2019,77090,0,2
11,04-2019,3676,0,1
10,04-2019,100634,0,3
9,04-2019,21539,0,1
8,04-2019,10326,0,1
7,04-2019,17628,0,6
6,04-2019,49936,0,2
5,04-2019,58776,0,1
3,04-2019,38018,0,1
2,04-2019,35499,0,1
1,04-2019,74041,0,2
31,03-2019,31829,0,1
23,03-2019,6054,0,1
22,03-2019,18730,0,2
21,03-2019,68215,0,2
20,03-2019,37208,0,2
17,03-2019,32552,0,1
15,03-2019,22222,0,1
14,03-2019,92552,0,2
12,03-2019,34105,0,1
11,03-2019,4330,0,1
9,03-2019,56121,0,2
8,03-2019,134394,0,3
7,03-2019,65848,0,2
3,03-2019,35566,0,1
1,03-2019,117481,0,1
26,02-2019,166176,0,2
25,02-2019,32619,0,2
24,02-2019,62049,0,2
23,02-2019,24505,0,1
22,02-2019,62827,0,1
19,02-2019,37676,0,1
18,02-2019,34004,0,1
16,02-2019,17210,0,1
15,02-2019,65545,0,1
13,02-2019,223,0,1
12,02-2019,37184,0,1
8,02-2019,54478,0,1
7,02-2019,57937,0,2
6,02-2019,5746,0,1
5,02-2019,87080,0,2
3,02-2019,23925,0,1
31,01-2019,15676,0,2
29,01-2019,11502,0,1
28,01-2019,8100,0,1
27,01-2019,25819,1,1
26,01-2019,82932,0,2
25,01-2019,58507,0,4
24,01-2019,50982,0,2
23,01-2019,22114,0,1
22,01-2019,71650,0,2
21,01-2019,8071,0,1
20,01-2019,41138,0,1
18,01-2019,147253,0,4
16,01-2019,6420,0,1
15,01-2019,109070,0,2
13,01-2019,47019,0,1
12,01-2019,85629,0,2
11,01-2019,55123,0,1
10,01-2019,8495,0,1
7,01-2019,95052,0,3
4,01-2019,45249,0,1
2,01-2019,83511,0,5
1,01-2019,46808,0,2
31,12-2018,94026,0,4
30,12-2018,59334,0,1
28,12-2018,15086,0,2
27,12-2018,48988,0,1
25,12-2018,68126,0,1
24,12-2018,39811,0,2
23,12-2018,37341,0,1
22,12-2018,65979,0,1
21,12-2018,26862,0,1
19,12-2018,62965,0,3
18,12-2018,66951,0,3
17,12-2018,39149,0,2
16,12-2018,166477,0,6
15,12-2018,20564,0,1
14,12-2018,124772,0,5
13,12-2018,23983,0,1
12,12-2018,137553,0,2
10,12-2018,47080,0,1
9,12-2018,23621,0,1
8,12-2018,25824,0,1
7,12-2018,40021,0,3
6,12-2018,99382,0,4
5,12-2018,82604,0,2
4,12-2018,53218,0,3
3,12-2018,53927,0,1
1,12-2018,32317,0,1
28,11-2018,48000,0,2
27,11-2018,46480,0,2
26,11-2018,23892,0,1
24,11-2018,26706,0,1
23,11-2018,76485,0,4
22,11-2018,8672,0,1
21,11-2018,20908,0,1
20,11-2018,50565,0,2
19,11-2018,27829,0,1
18,11-2018,20087,0,1
15,11-2018,87025,0,2
14,11-2018,14687,0,2
13,11-2018,10152,0,1
12,11-2018,4723,0,1
11,11-2018,52507,0,2
10,11-2018,38737,0,1
8,11-2018,40649,0,1
7,11-2018,29347,0,1
6,11-2018,38198,0,1
5,11-2018,91378,0,3
2,11-2018,46374,0,1
1,11-2018,29687,0,1
31,10-2018,40867,0,1
29,10-2018,93030,0,3
28,10-2018,21135,0,1
27,10-2018,90782,0,1
26,10-2018,25083,0,1
25,10-2018,66710,0,4
24,10-2018,131644,0,2
23,10-2018,59657,0,2
22,10-2018,28639,0,2
20,10-2018,82355,0,2
19,10-2018,58854,0,3
18,10-2018,25788,0,1
17,10-2018,57452,0,2
16,10-2018,29667,0,1
15,10-2018,53130,0,2
14,10-2018,81993,0,2
13,10-2018,22187,0,1
12,10-2018,7871,0,1
11,10-2018,56528,0,2
9,10-2018,28810,0,1
8,10-2018,57303,0,2
6,10-2018,49135,0,2
5,10-2018,83162,0,1
4,10-2018,64715,0,3
2,10-2018,35603,0,3
1,10-2018,31687,0,2
30,09-2018,51832,0,4
29,09-2018,11829,0,1
28,09-2018,44081,0,2
27,09-2018,59834,0,2
26,09-2018,71940,0,3
25,09-2018,16944,0,1
24,09-2018,13683,0,1
23,09-2018,100117,0,2
21,09-2018,33746,0,1
20,09-2018,68210,0,2
19,09-2018,31333,0,2
18,09-2018,17767,0,1
17,09-2018,58289,0,2
16,09-2018,36532,0,2
15,09-2018,11342,0,1
14,09-2018,44982,0,3
13,09-2018,54665,0,1
12,09-2018,43266,0,3
11,09-2018,53752,0,2
9,09-2018,40447,0,2
8,09-2018,55852,0,4
7,09-2018,68930,0,1
5,09-2018,44135,0,2
4,09-2018,54205,0,4
3,09-2018,85558,0,3
2,09-2018,57393,0,2
1,09-2018,32200,0,2
31,08-2018,77959,0,3
30,08-2018,72303,0,3
29,08-2018,121941,0,8
28,08-2018,106321,0,3
27,08-2018,89374,0,3
26,08-2018,73002,0,2
25,08-2018,41891,0,2
24,08-2018,53384,0,2
23,08-2018,28525,0,2
22,08-2018,107766,0,4
21,08-2018,67413,1,3
20,08-2018,60343,1,2
19,08-2018,42679,0,1
18,08-2018,67632,0,3
17,08-2018,20084,0,1
16,08-2018,77373,0,2
15,08-2018,66457,0,1
14,08-2018,60828,0,5
13,08-2018,36718,0,2
12,08-2018,24356,0,1
11,08-2018,43020,0,3
10,08-2018,9847,0,1
9,08-2018,48819,0,2
8,08-2018,41530,0,1
7,08-2018,12302,0,1
6,08-2018,16160,0,1
5,08-2018,25303,0,1
4,08-2018,26975,0,1
3,08-2018,54839,0,4
2,08-2018,64360,0,2
1,08-2018,8035,0,1
30,07-2018,27012,1,1
29,07-2018,11768,0,2
28,07-2018,52063,0,1
27,07-2018,64504,0,2
26,07-2018,24918,0,1
24,07-2018,18414,0,2
23,07-2018,39270,1,2
22,07-2018,14898,0,1
19,07-2018,21344,1,1
18,07-2018,65488,0,4
17,07-2018,27114,1,2
16,07-2018,21441,0,1
15,07-2018,97989,0,2
14,07-2018,26600,0,2
13,07-2018,92967,0,2
12,07-2018,91935,0,3
11,07-2018,39699,0,2
10,07-2018,99249,0,4
8,07-2018,223244,0,8
7,07-2018,76763,0,1
6,07-2018,82527,0,3
5,07-2018,17646,0,1
4,07-2018,13955,0,2
3,07-2018,276875,0,7
2,07-2018,12377,1,1
1,07-2018,41234,0,2
30,06-2018,19091,0,4
28,06-2018,19052,0,1
27,06-2018,58540,0,3
26,06-2018,11016,0,3
25,06-2018,64445,0,2
23,06-2018,26012,0,1
22,06-2018,13116,0,1
21,06-2018,69485,0,2
17,06-2018,91603,0,2
16,06-2018,33358,0,1
11,06-2018,26906,0,1
10,06-2018,96807,0,3
9,06-2018,25458,0,1
6,06-2018,43429,0,1
5,06-2018,32543,0,1
4,06-2018,51142,0,1
3,06-2018,52060,0,1
1,06-2018,56811,0,1
28,05-2018,54334,0,1
27,05-2018,145207,0,5
25,05-2018,111688,0,5
23,05-2018,88671,0,3
22,05-2018,62344,0,2
21,05-2018,14163,0,1
19,05-2018,5221,0,1
18,05-2018,151,0,1
17,05-2018,47139,0,1
13,05-2018,65320,0,1
12,05-2018,34065,0,1
2,05-2018,53669,0,1
1,05-2018,42855,0,1
26,04-2018,110256,0,33
25,04-2018,37547,0,4
24,04-2018,87540,0,4
23,04-2018,66854,0,3
22,04-2018,15211,0,1
19,04-2018,7283,0,1
15,04-2018,43002,0,1
14,04-2018,34136,0,2
13,04-2018,36993,0,1
11,04-2018,24964,0,1
10,04-2018,23553,0,1
9,04-2018,52685,0,3
8,04-2018,58407,0,2
7,04-2018,79174,0,3
6,04-2018,27915,0,1
5,04-2018,32124,0,1
2,04-2018,17689,0,1
1,04-2018,29035,0,1
31,03-2018,28664,0,1
30,03-2018,11468,0,1
29,03-2018,52880,0,1
28,03-2018,77161,0,1
27,03-2018,8194,0,1
22,03-2018,8699,0,1
21,03-2018,26279,0,1
20,03-2018,58038,0,3
19,03-2018,51171,0,3
18,03-2018,157586,0,2
17,03-2018,32069,0,1
14,03-2018,63596,0,2
13,03-2018,22423,0,1
12,03-2018,34025,0,2
10,03-2018,5403,0,1
9,03-2018,38407,0,3
8,03-2018,18826,0,1
7,03-2018,36438,0,1
1,03-2018,6672,0,1
28,02-2018,7554,0,1
27,02-2018,12561,0,1
25,02-2018,64870,0,3
24,02-2018,66620,0,3
22,02-2018,67030,0,2
19,02-2018,29746,0,1
18,02-2018,36950,0,1
17,02-2018,35543,0,1
16,02-2018,55285,0,1
14,02-2018,0,1,0
13,02-2018,80026,0,2
12,02-2018,17029,0,1
10,02-2018,33581,0,2
8,02-2018,12389,0,1
7,02-2018,137678,0,3
5,02-2018,65454,0,2
4,02-2018,33090,0,2
3,02-2018,72706,0,1
2,02-2018,44627,0,1
1,02-2018,33348,0,1
30,01-2018,60168,0,1
29,01-2018,7086,0,2
28,01-2018,80604,0,3
27,01-2018,70787,0,2
26,01-2018,50210,0,2
25,01-2018,44985,0,2
24,01-2018,26907,0,2
22,01-2018,27889,0,2
20,01-2018,60045,0,3
18,01-2018,71595,0,2
15,01-2018,67042,1,3
14,01-2018,28850,0,1
13,01-2018,9794,0,1
11,01-2018,74752,1,3
10,01-2018,47503,0,4
9,01-2018,21166,1,2
8,01-2018,28246,0,1
7,01-2018,6948,0,1
6,01-2018,84960,0,2
5,01-2018,21956,1,2
2,01-2018,35544,0,1
30,12-2017,55444,0,3
29,12-2017,27487,0,1
28,12-2017,20936,0,1
27,12-2017,23522,0,1
25,12-2017,18099,1,1
23,12-2017,21723,4,1
22,12-2017,63073,14,3
20,12-2017,67477,0,2
19,12-2017,20770,0,1
18,12-2017,31477,0,1
17,12-2017,47153,0,1
16,12-2017,7447,0,1
15,12-2017,51711,1,2
14,12-2017,16444,0,1
13,12-2017,131320,0,2
12,12-2017,126745,0,4
11,12-2017,143603,0,1
7,12-2017,22093,0,1
6,12-2017,58726,0,2
5,12-2017,49530,0,3
4,12-2017,59503,0,4
3,12-2017,28135,0,1
2,12-2017,8866,0,1
1,12-2017,30408,0,2
27,11-2017,90851,0,3
26,11-2017,18127,0,1
25,11-2017,29844,0,2
24,11-2017,21945,0,1
23,11-2017,40740,0,2
22,11-2017,13509,0,1
21,11-2017,7541,0,1
20,11-2017,45398,0,1
19,11-2017,13002,0,1
17,11-2017,20426,0,1
16,11-2017,12103,0,1
14,11-2017,59159,0,2
12,11-2017,32236,0,1
11,11-2017,29851,0,1
9,11-2017,26626,1,1
8,11-2017,58140,0,4
7,11-2017,14578,0,1
5,11-2017,95829,0,2
4,11-2017,18278,0,1
3,11-2017,104681,2,4
2,11-2017,41464,0,1
1,11-2017,112493,0,3
31,10-2017,12828,0,1
29,10-2017,56025,0,2
28,10-2017,12466,0,1
27,10-2017,62792,0,4
26,10-2017,10348,0,2
25,10-2017,44421,0,2
24,10-2017,30056,0,2
23,10-2017,13073,0,1
22,10-2017,87003,0,5
21,10-2017,14399,0,1
20,10-2017,83260,0,1
18,10-2017,39690,0,3
17,10-2017,65799,0,3
16,10-2017,33339,0,3
15,10-2017,17038,0,1
14,10-2017,50186,0,3
13,10-2017,18124,0,2
11,10-2017,78827,0,3
10,10-2017,9799,0,1
9,10-2017,14000,0,1
8,10-2017,36104,1,2
5,10-2017,54546,0,3
4,10-2017,0,1,0
3,10-2017,23945,0,2
2,10-2017,38851,0,2
1,10-2017,15113,0,1
30,09-2017,51810,0,2
29,09-2017,25513,0,2
28,09-2017,35732,0,2
27,09-2017,18744,0,2
26,09-2017,75935,0,7
25,09-2017,5903,0,1
24,09-2017,39119,0,1
22,09-2017,20205,0,2
21,09-2017,42942,0,1
19,09-2017,6025,0,1
17,09-2017,163593,0,5
16,09-2017,25448,0,2
15,09-2017,30747,0,2
14,09-2017,53181,0,5
12,09-2017,13541,0,1
10,09-2017,24653,0,1
9,09-2017,39555,1,2
8,09-2017,47540,0,4
7,09-2017,28259,0,1
6,09-2017,13772,0,1
5,09-2017,29354,0,2
4,09-2017,60060,0,4
3,09-2017,96312,0,2
2,09-2017,64370,0,5
1,09-2017,52242,0,2
31,08-2017,70745,0,2
30,08-2017,46152,0,4
29,08-2017,51270,0,3
27,08-2017,86444,0,5
26,08-2017,6033,0,1
25,08-2017,51914,0,2
23,08-2017,16301,0,2
22,08-2017,7724,0,1
20,08-2017,21479,0,1
19,08-2017,15275,0,1
18,08-2017,9129,0,1
17,08-2017,30277,0,2
15,08-2017,27471,0,1
14,08-2017,42314,0,2
12,08-2017,12570,0,1
6,08-2017,27161,0,1
30,07-2017,32970,0,1
29,07-2017,29587,0,2
28,07-2017,16950,0,1
27,07-2017,10760,0,1
26,07-2017,27882,0,1
23,07-2017,159279,0,9
22,07-2017,9530,0,1
21,07-2017,19133,0,2
20,07-2017,98208,0,4
19,07-2017,20199,1,2
18,07-2017,58637,0,4
16,07-2017,22860,0,2
15,07-2017,13662,0,1
14,07-2017,12754,0,1
13,07-2017,4214,0,1
12,07-2017,39480,0,1
10,07-2017,28327,0,1
9,07-2017,26384,0,1
8,07-2017,47405,0,1
7,07-2017,86561,0,1
6,07-2017,22875,1,2
5,07-2017,8811,0,1
3,07-2017,23616,0,1
29,06-2017,7604,0,1
26,06-2017,27369,0,1
25,06-2017,17899,0,1
24,06-2017,80137,0,5
21,06-2017,23254,0,1
20,06-2017,44553,0,1
18,06-2017,54243,0,2
16,06-2017,16270,0,1
15,06-2017,52120,1,1
11,06-2017,7633,0,1
9,06-2017,12585,0,1
8,06-2017,17681,0,1
6,06-2017,25215,0,2
1,06-2017,0,1,0
29,05-2017,0,1,0
27,05-2017,58795,0,7
26,05-2017,37146,0,7
25,05-2017,142802,0,24
24,05-2017,24758,0,2
23,05-2017,31771,0,6
22,05-2017,79694,0,9
21,05-2017,17265,0,2
20,05-2017,53259,1,5
19,05-2017,43497,2,3
17,05-2017,14842,0,2
16,05-2017,11221,0,1
15,05-2017,13121,0,1
14,05-2017,33305,0,1
13,05-2017,15675,0,1
12,05-2017,16133,0,1
11,05-2017,12031,0,1
9,05-2017,9480,0,1
5,05-2017,10826,1,1
4,05-2017,47324,0,1
2,05-2017,29113,0,1
1,05-2017,20175,0,2
30,04-2017,16750,0,1
29,04-2017,18999,0,1
28,04-2017,44538,1,17
27,04-2017,106881,0,33
26,04-2017,24690,2,13
25,04-2017,23690,0,2
24,04-2017,53267,0,3
22,04-2017,5243,0,1
21,04-2017,11057,0,2
20,04-2017,41070,0,4
19,04-2017,31357,0,4
18,04-2017,28991,1,2
17,04-2017,57712,1,20
16,04-2017,19469,0,2
15,04-2017,36620,0,6
14,04-2017,52818,0,12
13,04-2017,26033,0,1
12,04-2017,49313,0,2
11,04-2017,21046,1,2
9,04-2017,57709,0,1
7,04-2017,54113,1,6
6,04-2017,27868,0,6
5,04-2017,47003,0,8
4,04-2017,53492,0,5
3,04-2017,9072,0,1
2,04-2017,80461,1,5
30,03-2017,9617,0,1
29,03-2017,5059,0,1
28,03-2017,52198,0,2
27,03-2017,6758,0,1
25,03-2017,35264,0,1
22,03-2017,20912,0,1
17,03-2017,12809,1,1
16,03-2017,0,1,0
13,03-2017,17522,0,1
9,03-2017,13909,0,2
8,03-2017,16102,0,2
7,03-2017,54889,1,2
5,03-2017,9722,0,1
4,03-2017,2740,0,1
2,03-2017,6818,1,1
1,03-2017,10039,0,1
28,02-2017,7963,0,1
27,02-2017,10112,0,1
26,02-2017,17225,0,3
25,02-2017,2985,0,1
21,02-2017,0,2,0
19,02-2017,12125,0,1
17,02-2017,18763,0,1
15,02-2017,0,1,0
14,02-2017,24193,0,1
13,02-2017,29798,0,1
12,02-2017,42080,0,2
11,02-2017,40722,0,2
10,02-2017,3136,0,1
9,02-2017,12097,0,1
8,02-2017,535,0,1
7,02-2017,14476,0,1
5,02-2017,9513,0,1
4,02-2017,16250,0,1
3,02-2017,9126,1,1
1,02-2017,23719,0,3
29,01-2017,77502,0,6
28,01-2017,15288,0,3
26,01-2017,24545,0,1
22,01-2017,8828,0,1
19,01-2017,71571,0,3
18,01-2017,4374,0,1
15,01-2017,47151,0,2
14,01-2017,18742,0,2
13,01-2017,14954,0,3
12,01-2017,5990,0,3
11,01-2017,24358,0,2
10,01-2017,9243,0,1
9,01-2017,5254,0,1
8,01-2017,5175,0,1
7,01-2017,0,1,0
6,01-2017,25558,1,2
5,01-2017,0,1,0
4,01-2017,37397,0,2
3,01-2017,3756,0,1
2,01-2017,4658,0,1
1,01-2017,15157,0,2
31,12-2016,19908,0,1
30,12-2016,3659,0,1
28,12-2016,3659,0,1
24,12-2016,30842,0,2
23,12-2016,18906,1,2
20,12-2016,15260,0,1
19,12-2016,25090,1,3
18,12-2016,11494,3,2
17,12-2016,14670,0,1
16,12-2016,7509,0,1
15,12-2016,4873,0,1
14,12-2016,7445,0,1
12,12-2016,44048,0,2
6,12-2016,21104,0,1
5,12-2016,9818,1,1
4,12-2016,18397,0,2
3,12-2016,25104,0,1
1,12-2016,12108,1,2
30,11-2016,12615,0,1
27,11-2016,20586,0,1
26,11-2016,6951,0,1
25,11-2016,9364,0,2
24,11-2016,6597,1,1
23,11-2016,16197,0,1
20,11-2016,25868,2,5
19,11-2016,20726,4,4
18,11-2016,3889,0,1
16,11-2016,56688,0,8
15,11-2016,47847,0,11
14,11-2016,30194,1,3
12,11-2016,5906,0,1
8,11-2016,23991,2,2
7,11-2016,0,1,0
6,11-2016,4841,0,1
5,11-2016,37250,1,2
4,11-2016,2395,0,1
3,11-2016,8113,1,1
2,11-2016,15808,0,2
1,11-2016,15147,0,1
31,10-2016,0,1,0
30,10-2016,14327,0,2
29,10-2016,16969,0,3
28,10-2016,38806,0,3
27,10-2016,17186,0,2
25,10-2016,8069,1,1
24,10-2016,9696,0,1
22,10-2016,37740,0,2
21,10-2016,11794,0,1
20,10-2016,28210,0,1
17,10-2016,12433,0,2
16,10-2016,5477,0,1
15,10-2016,13098,0,1
14,10-2016,15612,0,2
13,10-2016,4370,0,1
12,10-2016,28440,0,2
11,10-2016,25241,0,3
10,10-2016,0,1,0
8,10-2016,16490,0,1
7,10-2016,9460,1,1
5,10-2016,9429,1,2
4,10-2016,42296,0,5
3,10-2016,9312,0,1
2,10-2016,8338,0,2
1,10-2016,10529,2,2
28,09-2016,5469,0,1
27,09-2016,18533,1,4
26,09-2016,6290,0,1
23,09-2016,7533,0,2
22,09-2016,2619,0,1
21,09-2016,15791,0,4
20,09-2016,26046,0,4
19,09-2016,10467,0,1
17,09-2016,20690,0,2
15,09-2016,4884,0,1
14,09-2016,13182,0,2
13,09-2016,19951,0,3
12,09-2016,16244,0,3
11,09-2016,4532,0,1
10,09-2016,14153,0,1
9,09-2016,2272,0,1
8,09-2016,5550,0,1
7,09-2016,5076,2,1
5,09-2016,53572,0,5
3,09-2016,6119,0,1
2,09-2016,12274,0,1
1,09-2016,7959,0,1
31,08-2016,17721,0,3
30,08-2016,4758,0,1
29,08-2016,7047,0,1
28,08-2016,26706,0,1
27,08-2016,27458,0,2
26,08-2016,3727,0,1
25,08-2016,20434,31,3
22,08-2016,4581,0,1
21,08-2016,12721,0,2
20,08-2016,16256,0,3
19,08-2016,83850,0,14
18,08-2016,34373,0,4
17,08-2016,19188,0,6
16,08-2016,8312,0,2
15,08-2016,33760,0,4
14,08-2016,17616,4,7
13,08-2016,5629,0,1
11,08-2016,7931,0,2
8,08-2016,30087,0,3
7,08-2016,9769,1,2
6,08-2016,22099,2,4
5,08-2016,30219,0,4
4,08-2016,5607,0,2
3,08-2016,15907,0,4
2,08-2016,8608,0,2
1,08-2016,19721,0,3
31,07-2016,3103,0,1
30,07-2016,2641,0,1
29,07-2016,13495,0,2
28,07-2016,8636,0,3
25,07-2016,12645,0,1
23,07-2016,2423,0,1
22,07-2016,5842,0,1
20,07-2016,11702,0,1
17,07-2016,6893,0,1
16,07-2016,8453,0,2
